Year,Carrier,Total
2015,YV,15094
2015,MQ,1884
2015,AA,27973
2015,MQ,1834
2015,AA,10157
2015,AA,643
2015,AA,492
2015,AA,10116
2015,AA,9765
2015,TA,3165
2015,AA,1746
2015,AA,11924
2015,AA,21290
2015,AA,7583
2015,YV,5284
2015,BA,291
2015,QF,16661
2015,MQ,2086
2015,AA,3146
2015,AA,7944
2015,AA,16310
2015,AA,12437
2015,AA,18221
2015,KV,10081
2015,MQ,61
2015,YV,6924
2015,RJ,1679
2015,DL,54904
2015,AF,14116
2015,DL,18274
2015,DL,2642
2015,DL,287
2015,DL,11735
2015,LH,12600
2015,DL,11663
2015,DL,5675
2015,DL,15932
2015,VS,9984
2015,DL,9631
2015,DL,1197
2015,DL,6657
2015,DL,852
2015,CP,3177
2015,LH,182
2015,DL,6180
2015,DL,17964
2015,DL,10284
2015,DL,16569
2015,VS,126
2015,AC,99
2015,9E,20
2015,S5,5132
2015,9E,686
2015,EV,11619
2015,S5,44
2015,AC,167
2015,DL,6080
2015,QK,2827
2015,ZX,1677
2015,9E,7467
2015,EV,6992
2015,S5,189
2015,09Q,270
2015,09Q,1347
2015,DL,8385
2015,UA,9619
2015,UA,1487
2015,SK,15453
2015,UA,11788
2015,UA,12274
2015,UA,2741
2015,UA,6236
2015,UA,8318
2015,UA,6246
2015,AI,13902
2015,UA,13147
2015,UA,1331
2015,UA,14302
2015,9W,13696
2015,DL,8956
2015,UA,20508
2015,B0,3546
2015,UA,15121
2015,SK,15280
2015,PBQ,200
2015,UA,14897
2015,UA,9681
2015,LH,12971
2015,UA,11970
2015,SVW,2
2015,VJT,3
2015,UA,13196
2015,WG,1560
2015,LH,20060
2015,UA,14788
2015,UA,187
2015,UA,9798
2015,LS,458
2015,UA,12506
2015,UA,1602
2015,UA,8286
2015,0Q,2
2015,UA,8757
2015,CX,13951
2015,UA,14226
2015,FI,7043
2015,VJT,3
2015,LS,450
2015,CRV,5
2015,BA,23422
2015,VS,16104
2015,DL,1156
2015,UA,45822
2015,UA,6019
2015,CAZ,8
2015,UA,180
2015,TP,13864
2015,UA,9094
2015,VJT,4
2015,B0,1625
2015,UA,9007
2015,UA,9657
2015,UA,1763
2015,UA,12003
2015,UA,163
2015,LH,15560
2015,UA,12834
2015,UA,14629
2015,UA,1162
2015,LS,450
2015,UA,13919
2015,TP,3984
2015,A0,8884
2015,SK,14739
2015,CA,1505
2015,UA,13287
2015,UA,531
2015,UA,170
2015,UA,7477
2015,UA,6453
2015,WG,1623
2015,UA,13484
2015,UA,613
2015,UA,307
2015,UA,9973
2015,UA,2211
2015,UA,9581
2015,UA,134
2015,UA,9480
2015,UA,7101
2015,B6,7656
2015,UA,299
2015,LY,14308
2015,UA,31515
2015,UA,9876
2015,UA,172
2015,OS,8701
2015,EV,8946
2015,EV,7680
2015,GL,38
2015,S5,235
2015,YX,393
2015,09Q,45
2015,EV,7189
2015,EV,132
2015,PD,33140
2015,DL,47
2015,QK,7165
2015,EV,2021
2015,PPQ,20
2015,S5,2392
2015,YX,4871
2015,AC,6242
2015,AC,91
2015,AC,4122
2015,YX,3113
2015,AC,10476
2015,QK,996
2015,EV,7556
2015,S5,5791
2015,YX,371
2015,KV,11079
2015,UA,9495
2015,LX,13094
2015,AM,4850
2015,Y4,6996
2015,DY,2815
2015,NK,1298
2015,NK,2104
2015,AA,96
2015,3M,240
2015,AV,7164
2015,B6,7688
2015,NK,8078
2015,WL,81
2015,09Q,626
2015,1BQ,6086
2015,B6,8013
2015,NK,9654
2015,DY,4882
2015,B6,6730
2015,NK,3077
2015,3M,1532
2015,UP,3244
2015,3M,2096
2015,Y4,1668
2015,NK,4410
2015,B6,797
2015,BW,5308
2015,AA,115
2015,B6,12942
2015,DY,2759
2015,VS,174
2015,B6,8159
2015,NK,967
2015,BW,5654
2015,B6,7731
2015,NK,4421
2015,B6,7266
2015,NK,5071
2015,B6,5298
2015,Y4,2827
2015,NK,4985
2015,3M,1037
2015,UP,12758
2015,B6,14026
2015,MQ,85
2015,DY,4339
2015,AA,11419
2015,B6,7528
2015,NK,4675
2015,BW,5612
2015,B6,7035
2015,CM,2905
2015,NK,3821
2015,B6,7527
2015,NK,2799
2015,NK,5301
2015,B6,7849
2015,NK,4860
2015,B6,7502
2015,NK,10877
2015,NK,2020
2015,NK,1645
2015,3M,332
2015,NK,1657
2015,AA,181
2015,AD,16391
2015,AC,1116
2015,WS,195
2015,AC,15081
2015,TS,1735
2015,WS,3482
2015,AC,12974
2015,TS,1641
2015,WS,10193
2015,13Q,2
2015,13Q,2
2015,04Q,16
2015,13Q,4
2015,14Q,4
2015,CAZ,7
2015,0WQ,2
2015,AA,63
2015,FP,2
2015,UA,845
2015,UA,5443
2015,UA,4104
2015,KE,18731
2015,LJ,13561
2015,7C,19921
2015,KE,2644
2015,DL,8538
2015,UA,12884
2015,PR,4705
2015,UA,8992
2015,DL,5708
2015,UA,10243
2015,JL,13074
2015,DL,18707
2015,UA,42121
2015,KE,2969
2015,7C,4874
2015,BX,3447
2015,UA,1280
2015,UA,4391
2015,UA,980
2015,UA,3734
2015,CI,2756
2015,BR,2964
2015,UA,1233
2015,HA,5838
2015,NZ,5987
2015,FJ,527
2015,HA,7991
2015,JQ,6145
2015,HA,4249
2015,FJ,321
2015,DL,9394
2015,JL,16217
2015,HA,17261
2015,NH,13020
2015,KE,23845
2015,HA,11506
2015,OZ,10821
2015,JL,17051
2015,HA,16965
2015,DL,13128
2015,UA,2377
2015,JQ,7190
2015,PR,6997
2015,FJ,700
2015,JL,17510
2015,DL,7580
2015,CI,16746
2015,JL,45271
2015,KE,12030
2015,DL,22685
2015,NH,11748
2015,UA,21453
2015,NQ,11828
2015,CA,4765
2015,HA,3788
2015,HA,1992
2015,MU,7277
2015,QF,7772
2015,HA,15856
2015,JQ,14983
2015,CI,3857
2015,WS,7889
2015,RV,10147
2015,WN,386
2015,WN,3239
2015,WN,7593
2015,WN,1393
2015,EV,50
2015,WN,2760
2015,WN,3846
2015,WN,2607
2015,17Q,3
2015,VJT,7
2015,SY,182
2015,VJT,3
2015,04Q,3
2015,DL,47
2015,04Q,4
2015,13Q,2
2015,SA,6886
2015,ET,11416
2015,KL,15285
2015,UA,8658
2015,UA,215
2015,EY,11195
2015,UA,199
2015,AV,5769
2015,UA,14187
2015,SN,6625
2015,AF,27103
2015,UA,10918
2015,UA,4457
2015,SK,12389
2015,SA,4689
2015,QR,15649
2015,EI,5604
2015,UA,6390
2015,UA,12564
2015,EK,13706
2015,UA,9825
2015,LH,24418
2015,UA,26745
2015,0CQ,1
2015,UA,175
2015,UA,8211
2015,UA,6336
2015,KE,13066
2015,TK,14718
2015,TK,14718
2015,SV,4301
2015,FI,8264
2015,UA,5237
2015,BA,36547
2015,VS,12298
2015,UA,24988
2015,UA,125
2015,0WQ,10
2015,UA,6181
2015,AM,3916
2015,UA,7258
2015,LH,10570
2015,UA,12325
2015,B6,63
2015,NH,10688
2015,UA,12741
2015,X9,931
2015,CA,7745
2015,UA,11361
2015,CM,11876
2015,UA,726
2015,SV,4491
2015,TA,15778
2015,2KQ,14
2015,SU,1647
2015,UA,127
2015,OS,14695
2015,DL,47
2015,UA,111
2015,AX,565
2015,YV,10253
2015,UA,137
2015,PD,6855
2015,DL,45
2015,YV,11455
2015,0CQ,1
2015,DL,48
2015,AX,5947
2015,YV,9270
2015,13Q,4
2015,UA,9432
2015,OO,71
2015,EV,1993
2015,KL,12756
2015,UA,11981
2015,UA,669
2015,OO,5928
2015,EV,4393
2015,UA,13263
2015,UA,1313
2015,UA,10591
2015,UA,4013
2015,AF,13259
2015,AA,276
2015,UA,44851
2015,VB,1078
2015,EV,1402
2015,EV,2276
2015,AA,159
2015,UA,3181
2015,EV,254
2015,SQ,6290
2015,QR,12554
2015,EK,18214
2015,UA,11053
2015,LH,23598
2015,UA,13075
2015,UA,1743
2015,UA,11041
2015,EV,5301
2015,Y4,2405
2015,UA,12777
2015,UA,11692
2015,UA,16546
2015,09Q,385
2015,OO,54
2015,KE,5506
2015,TK,16019
2015,TK,16019
2015,5Y,2075
2015,BA,24045
2015,UA,22440
2015,UA,11511
2015,UA,5868
2015,UA,9603
2015,UA,1685
2015,LH,270
2015,UA,29409
2015,5D,18339
2015,OO,10035
2015,4O,6506
2015,UA,8839
2015,NK,1594
2015,UA,2224
2015,EV,2185
2015,5D,2414
2015,OO,8316
2015,EV,11276
2015,VB,3667
2015,4O,3025
2015,LH,270
2015,UA,10571
2015,OO,642
2015,NH,10202
2015,UA,12768
2015,EV,740
2015,EV,2333
2015,CA,12392
2015,UA,6395
2015,UA,13165
2015,UA,1453
2015,UA,8715
2015,OO,643
2015,UA,1395
2015,TA,3302
2015,UA,16889
2015,NK,2204
2015,UA,8734
2015,NK,3123
2015,UA,9671
2015,UA,14860
2015,UA,21432
2015,NK,2439
2015,5D,85
2015,EV,2383
2015,SK,957
2015,PBQ,1263
2015,EV,2012
2015,UA,4682
2015,BR,8160
2015,EV,1915
2015,UA,6142
2015,EV,3705
2015,EV,1543
2015,UA,7044
2015,YV,4022
2015,UA,9110
2015,UA,19551
2015,QK,10588
2015,WS,4160
2015,QK,14232
2015,OO,8058
2015,YV,1344
2015,S5,63
2015,UA,450
2015,EV,276
2015,EV,42
2015,OO,6125
2015,EV,2306
2015,1HQ,7
2015,DL,82
2015,ZX,4438
2015,OO,42
2015,AA,148
2015,VS,394
2015,DL,5325
2015,RJ,5816
2015,KL,36999
2015,DL,23337
2015,EY,237
2015,DY,9158
2015,DL,10748
2015,DL,8305
2015,B6,13780
2015,EY,33417
2015,B6,1579
2015,J2,2713
2015,DL,15726
2015,AA,11739
2015,DL,3000
2015,AA,7660
2015,B6,4457
2015,DL,977
2015,B6,10521
2015,AA,6147
2015,AV,18262
2015,DL,1222
2015,DL,11664
2015,SN,16784
2015,MS,11770
2015,CZ,17689
2015,AF,90733
2015,DL,16603
2015,AA,19802
2015,SE,9964
2015,AM,8191
2015,AA,13977
2015,B6,18543
2015,AT,9366
2015,DY,8933
2015,AV,2088
2015,B6,2999
2015,B6,2059
2015,AI,13322
2015,DL,2048
2015,QR,17733
2015,EI,35946
2015,DL,12178
2015,AA,6315
2015,AB,22113
2015,EK,52016
2015,AA,6039
2015,AR,13966
2015,AA,12593
2015,AZ,42656
2015,DL,14280
2015,AA,7923
2015,LH,43427
2015,SQ,21486
2015,DL,12300
2015,DE,2023
2015,KX,1211
2015,B6,3554
2015,Y4,3223
2015,BW,6634
2015,1BQ,5461
2015,OJ,192
2015,AA,10893
2015,JJ,11524
2015,DL,1114
2015,B6,3392
2015,DL,12764
2015,AA,16420
2015,JJ,29149
2015,LX,12486
2015,XL,13326
2015,EQ,11266
2015,B6,807
2015,AY,16159
2015,CX,45571
2015,KE,36184
2015,OZ,25771
2015,TK,46588
2015,TK,46588
2015,SV,5934
2015,SA,15934
2015,PS,9290
2015,FI,12223
2015,PK,1650
2015,BW,8841
2015,B6,9967
2015,OJ,3088
2015,KU,5573
2015,BA,1295
2015,DY,15461
2015,PK,1629
2015,BA,130217
2015,KU,5400
2015,VS,79173
2015,DL,30379
2015,AA,50718
2015,LA,6803
2015,LP,10213
2015,B6,1806
2015,W3,3036
2015,B6,1917
2015,IB,33740
2015,DL,12863
2015,AA,11268
2015,UX,10168
2015,DL,9011
2015,AA,10360
2015,MT,8237
2015,BW,5675
2015,DL,7616
2015,B6,9527
2015,AV,3966
2015,AM,31712
2015,DL,8751
2015,4O,12619
2015,5D,4744
2015,LH,13252
2015,AZ,12587
2015,DL,15866
2015,AA,12432
2015,EK,22078
2015,IG,3116
2015,DL,4794
2015,B6,9945
2015,DL,10585
2015,JL,20328
2015,DL,13949
2015,NH,19219
2015,A0,5592
2015,DY,10279
2015,AA,8829
2015,B6,7926
2015,CA,33191
2015,B6,4798
2015,IG,1446
2015,B6,5757
2015,BW,21700
2015,B6,7361
2015,DL,6798
2015,CM,23102
2015,DL,8754
2015,B6,16282
2015,MU,16797
2015,HY,1740
2015,SV,3730
2015,LR,7195
2015,TA,7847
2015,TA,1945
2015,LA,17360
2015,DL,23980
2015,B6,38143
2015,BA,944
2015,EI,8228
2015,DL,19562
2015,B6,41363
2015,SU,37177
2015,DL,6597
2015,B6,7492
2015,BW,576
2015,LY,39410
2015,DL,17516
2015,CI,6915
2015,BR,16595
2015,AB,16095
2015,B6,6320
2015,DL,13612
2015,OS,12446
2015,UN,6007
2015,LO,11150
2015,G7,6572
2015,NLQ,496
2015,9E,660
2015,G7,5428
2015,AX,7028
2015,9E,757
2015,S5,2185
2015,G7,6086
2015,PR,4224
2015,CX,12394
2015,WS,5302
2015,JJ,7667
2015,QK,6688
2015,AX,7531
2015,9E,10270
2015,G7,524
2015,DL,9483
2015,AA,8441
2015,LX,25133
2015,KAH,1
2015,KAH,5
2015,WS,1481
2015,DE,8454
2015,Y4,9085
2015,VS,655
2015,MT,2414
2015,KE,6482
2015,BA,7073
2015,VS,23445
2015,BA,19643
2015,VS,5873
2015,MT,12848
2015,AM,22183
2015,Y4,8952
2015,AM,2669
2015,4O,3749
2015,AMQ,59
2015,CM,6931
2015,4O,1364
2015,WS,18155
2015,WS,430
2015,WS,2466
2015,WS,1929
2015,RV,20238
2015,WS,17345
2015,RV,10873
2015,WS,3782
2015,WS,2437
2015,WS,122
2015,WS,23832
2015,RV,7052
2015,WS,2249
2015,TS,2702
2015,WS,17863
2015,WG,2534
2015,RV,29672
2015,8R,4555
2015,Y4,3510
2015,NZ,39071
2015,KL,25578
2015,DY,5444
2015,EY,10818
2015,OO,8210
2015,Y4,3446
2015,QF,16846
2015,VA,18647
2015,AV,5237
2015,CZ,34225
2015,AF,45953
2015,TN,10961
2015,DL,13986
2015,UA,9345
2015,GL,165
2015,VX,4260
2015,DY,6481
2015,VJT,9
2015,OO,186
2015,AB,9796
2015,EK,18465
2015,AZ,12628
2015,LH,35599
2015,AM,20191
2015,DL,8775
2015,AA,6355
2015,AS,8250
2015,Y4,19862
2015,KE,3025
2015,AA,11984
2015,LR,7764
2015,DL,9431
2015,TIQ,3
2015,CX,45293
2015,5D,1754
2015,DL,11306
2015,NH,10951
2015,KE,40149
2015,TG,4402
2015,OZ,39646
2015,TK,17064
2015,TK,17064
2015,SV,4564
2015,15Q,2
2015,2KQ,25
2015,JL,8842
2015,VJT,7
2015,DY,8701
2015,BA,44870
2015,VS,29740
2015,DL,1746
2015,AA,33234
2015,NZ,17440
2015,UA,12862
2015,LA,13216
2015,LP,10739
2015,DL,896
2015,VJT,3
2015,24Q,4
2015,QX,2830
2015,IB,5387
2015,VJT,4
2015,QF,29760
2015,UA,13417
2015,AM,47176
2015,AA,16052
2015,UA,6783
2015,Y4,6002
2015,Y4,4467
2015,PR,20205
2015,CP,3130
2015,LH,15800
2015,AS,4648
2015,FJ,15148
2015,MU,2947
2015,JL,12763
2015,SQ,20954
2015,DL,16495
2015,NH,12381
2015,AA,14029
2015,UA,13258
2015,DY,3789
2015,CA,37074
2015,AF,6871
2015,TN,23444
2015,CM,20158
2015,DL,12195
2015,AA,10566
2015,MU,22572
2015,UA,10918
2015,5Y,106
2015,DL,8357
2015,AS,8634
2015,UA,73
2015,NZ,1381
2015,VJT,7
2015,LR,8920
2015,TA,17095
2015,DL,4625
2015,AA,13303
2015,AS,15754
2015,UA,3224
2015,DL,8762
2015,AS,152
2015,SU,18743
2015,QF,38908
2015,DL,15065
2015,UA,11923
2015,VA,18461
2015,5Y,102
2015,0WQ,10
2015,LY,7869
2015,CI,33685
2015,BR,43568
2015,Y4,1316
2015,UN,1280
2015,DL,47
2015,WS,7914
2015,0WQ,4
2015,AC,17746
2015,AC,1282
2015,DL,98
2015,AS,8632
2015,WS,15139
2015,OO,3836
2015,CP,13380
2015,14Q,5
2015,RV,28378
2015,DL,46
2015,AC,126
2015,WS,12407
2015,RV,10787
2015,AC,45303
2015,DL,44
2015,AA,7292
2015,Y4,3851
2015,AS,2638
2015,AS,892
2015,LX,12318
2015,17Q,4
2015,VS,517
2015,13Q,6
2015,13Q,7
2015,AC,50
2015,QK,5594
2015,AC,4543
2015,AX,8555
2015,9E,1988
2015,EV,4157
2015,MQ,1830
2015,S5,47
2015,G7,6377
2015,KV,19120
2015,AC,46
2015,AC,49
2015,AC,61868
2015,WS,31308
2015,MQ,7018
2015,YX,9096
2015,KV,3520
2015,WS,1469
2015,AA,128
2015,KAH,8
2015,KAH,1195
2015,KAH,4
2015,KAH,4
2015,MQ,47
2015,MQ,33
2015,EV,39
2015,VS,195
2015,UA,267
2015,AMQ,38
2015,ZX,2326
2015,GL,204
2015,KV,97
2015,B6,22
2015,WN,7850
2015,AV,7818
2015,B6,7033
2015,JJ,5278
2015,B6,8983
2015,DY,1610
2015,EI,8089
2015,EK,9494
2015,LH,19107
2015,Y4,2199
2015,DL,281
2015,VS,6823
2015,MT,6616
2015,JJ,19385
2015,09Q,524
2015,AA,99
2015,FI,6153
2015,BW,1248
2015,B6,143
2015,BA,29521
2015,VS,41189
2015,DY,2666
2015,BA,653
2015,LP,7461
2015,VS,35805
2015,MT,14229
2015,WN,6275
2015,B6,6778
2015,AM,14550
2015,B6,6255
2015,Y4,4485
2015,UP,4669
2015,B6,4688
2015,DY,2709
2015,BW,1943
2015,SVW,8
2015,CM,28622
2015,G3,6554
2015,B6,5543
2015,B6,7136
2015,AD,13858
2015,WS,174
2015,WS,177
2015,AC,836
2015,WS,645
2015,TS,2891
2015,RV,11571
2015,WS,328
2015,WS,2164
2015,WS,126
2015,TS,1981
2015,WS,14131
2015,WG,352
2015,RV,26759
2015,ZX,1066
2015,Y4,1977
2015,WN,10916
2015,Y4,7775
2015,WN,7910
2015,Y4,5309
2015,WN,8208
2015,PD,14569
2015,GL,46
2015,Y4,2173
2015,VW,585
